City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,harstad,68.799,16.5293,-1.03,97,100,3.64,NO,1736703770
276,george town,5.4112,100.3354,23.94,77,20,5.36,MY,1736703761
277,vila franca do campo,37.7167,-25.4333,18.27,99,80,2.82,PT,1736703773
278,puerto carreno,6.189,-67.4859,33.99,43,0,5.14,CO,1736703774
279,mirpur sakro,24.5474,67.6277,18.11,18,0,5.26,PK,1736703775
280,hungnam,39.8317,127.6186,-4.56,55,0,3.22,KP,1736703776
281,guerrero negro,27.9769,-114.0611,17.22,30,0,1.11,MX,1736703777
282,song cau,13.45,109.2167,17.72,80,94,6.01,VN,1736703778
283,santa maria da boa vista,-8.8078,-39.8256,25.24,75,99,4.78,BR,1736703780
284,nova sintra,14.8667,-24.7167,24.36,70,0,5.07,CV,1736703781
285,durban,-29.8579,31.0292,21.51,90,100,3.17,ZA,1736703519
286,broken hill,-31.95,141.4333,25.74,29,4,3.61,AU,1736703783
287,fale old settlement,-9.3852,-171.2468,28.06,76,98,8.22,TK,1736703784
288,ulaangom,49.9811,92.0667,-18.49,99,99,0.38,MN,1736703785
289,fada,7.25,4.0667,28.8,22,62,0.86,NG,1736703786
290,porto-vecchio,41.591,9.2795,8.81,37,0,2.57,FR,1736703787
291,rosso,16.4986,-15.8153,30.01,7,0,4.15,SN,1736703789
292,yinchuan,38.4681,106.2731,-2.53,40,0,1.85,CN,1736703790
293,tura,25.5198,90.2201,15.54,56,79,1.78,IN,1736703791
294,anadyr,64.75,177.4833,-22.78,76,75,12.0,RU,1736703792
295,mariinsk,56.2139,87.7472,-15.62,98,98,2.1,RU,1736703793
296,seaford,50.7714,0.1027,2.77,83,39,0.89,GB,1736703285
297,caleta de carquin,-11.0925,-77.6267,24.24,73,38,4.98,PE,1736703795
298,sacaba,20.5833,-89.9833,31.76,39,13,3.36,MX,1736703796
299,havre,49.5833,0.3333,0.87,93,37,0.0,FR,1736703798
300,nemuro,43.3236,145.575,-2.99,64,38,1.72,JP,1736703799
301,champerico,14.3,-91.9167,28.46,70,0,3.44,GT,1736703800
302,labuan bajo,-8.4964,119.8877,26.46,85,100,2.1,ID,1736703801
303,nova vicosa,-17.8919,-39.3719,27.5,72,34,5.18,BR,1736703802
304,kismayo,-0.3582,42.5454,24.63,84,86,7.01,SO,1736703804
305,krasnozerskoye,53.9828,79.2374,-19.66,100,100,1.43,RU,1736703805
306,greymouth,-42.4667,171.2,10.76,78,35,2.72,NZ,1736703806
307,dvurechensk,56.5982,61.0953,-1.79,96,47,1.73,RU,1736703807
308,tagta,41.6504,59.9164,-1.03,69,2,5.14,TM,1736703808
309,derzhavinsk,51.1,66.3167,-13.56,86,64,2.34,KZ,1736703809
310,balkanabat,39.5108,54.3671,10.05,37,100,0.27,TM,1736703810
311,hithadhoo,-0.6,73.0833,27.62,76,81,4.37,MV,1736703811
312,eraan,9.0629,117.7016,25.02,92,100,2.39,PH,1736703812
313,soure,-0.7167,-48.5233,27.32,84,80,4.76,BR,1736703814
314,ust'-ilimsk,58.0006,102.6619,-30.77,100,95,0.81,RU,1736703815
315,whitehorse,60.7161,-135.0538,1.43,69,75,8.75,CA,1736703724
316,talnakh,69.4865,88.3972,-23.04,96,100,4.63,RU,1736703817
317,erenhot,43.6475,111.9767,-11.7,89,70,4.43,CN,1736703818
